Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
108	2:12.01	Matthew Ko		15	200 FL LCM	CA	Irvine Novaquatics	2023 CA SCS/NOVA June Age Group Invite	2020-2024 AAA
109	2:12.07	Michael Zhou		15	200 FL LCM	PV	Nation's Capital Swim Club	2023 PV LC Open Championships	2020-2024 AAA
109	2:12.07	James Chen		15	200 FL LCM	NJ	Peddie Aquatic Association	2023 NJ SCAR Memorial Day	2020-2024 AAA
111	2:12.17	Max Ruffer		15	200 FL LCM	NJ	Greater Somerset County YMCA Storm	2023 NC YMCA Long Course Nationals	2020-2024 AAA
112	2:12.18	Caden Wong		15	200 FL LCM	NJ	Summit Area YMCA	2023 NC YMCA Long Course Nationals	2020-2024 AAA
112	2:12.18	Matthew Wolfle		15	200 FL LCM	VA	NOVA of Virginia Aquatics, Inc	2023 VA LC Senior Champs	2020-2024 AAA
114	2:12.27	Nicholas Kwan		15	200 FL LCM	FL	Bolles School Sharks	2023 FG Piranhas Senior Invite	2020-2024 AAA
115	2:12.41	Rohan Mehra		15	200 FL LCM	MR	Asphalt Green Unified Aquatics	2023 MR TYR Senior Mets LCM Championship	2020-2024 AAA
116	2:12.45	Adrian Zolnierczyk		15	200 FL LCM	AZ	Arizona Dolphins	2023 AZ MAC 12th Annual Speedo Invite	2020-2024 AAA
117	2:12.49	Ethan Fang		15	200 FL LCM	OHO	Mason Manta Rays	2023 NC SwimMAC Martha McKee Open	2020-2024 AAA
118	2:12.53	Nate Farnham		15	200 FL LCM	SE	Baylor Swim Club	2023 SE Southeastern Long Course Championships	2020-2024 AAA
119	2:12.56	Jihoon Jung		15	200 FL LCM	IN	Southeastern Swim Club	2023 IL Duel in the Pool Illinois Swimming	2020-2024 AAA
120	2:12.57	Ethan Linville		15	200 FL LCM	CC	Clovis Swim Club	2023 CA FAST Jon Urbanchek Invite	2020-2024 AAA
121	2:12.58	Andrew Vet		15	200 FL LCM	CA	La Mirada Armada	2023 SN CA/NV Speedo Sectionals - Roseville	2020-2024 AAA
122	2:12.59	Dylan Winthal		15	200 FL LCM	MR	Badger Swim Club,Inc.	2023 Futures Championships - Richmond, VA - CAP REACHED	2020-2024 AAA
123	2:12.60	JJ Verwoest		15	200 FL LCM	SN	Sierra Marlins Swim Team	2023 SN Long Course Championships ‘The Bill Rose Classic’	2020-2024 AAA
124	2:12.77	George Dovellos		15	200 FL LCM	FL	Bolles School Sharks	2023 Futures - Ocala	2020-2024 AAA
125	2:12.84	Griffin Barlow		15	200 FL LCM	OHO	Cincinnati Marlins	2023 FL ISCA International Senior Cup	2020-2024 AAA
126	2:12.90	Alex Grocholski		15	200 FL LCM	PV	Unattached	2023 FL ISCA Summer Senior Blast	2020-2024 AAA
127	2:12.93	Camden Stutsman		15	200 FL LCM	IN	Concord Swim Club	2023 IN Senior State LCM Championships	2020-2024 AAA
128	2:12.94	Michael Kueh		15	200 FL LCM	PV	Rockville Montgomery Swim Club	2023 Futures Championships - Richmond, VA - CAP REACHED	2020-2024 AAA
129	2:12.96	Austin Wickboldt		15	200 FL LCM	GU	Cypress Fairbanks Swim Club	2023 MS Southern Zone Senior Championships	2020-2024 AAA
130	2:13.10	Lincoln Hoffmann		15	200 FL LCM	CO	Fort Collins Area Swim Team	2023 CC Arena Western Zone Senior Championships	2020-2024 AAA
131	2:13.14	Jay Hickman		15	200 FL LCM	CA	Lakewood Aquatics	2023 CA Speedo Grand Challenge	2020-2024 AAA
132	2:13.16	Jarrod Coy		15	200 FL LCM	OR	Corvallis Aquatic Team	2023 OR THSC SUMMER CLASSIC	2020-2024 AAA
133	2:13.18	Peyton Kuo		15	200 FL LCM	CA	Beach Cities Swimming	2023 CA SCS/NOVA June Age Group Invite	2020-2024 AAA
133	2:13.18	Corey Beard		15	200 FL LCM	IL	NWDupage YMCA / B.R. Ryall S T	2023 FL ISCA Summer Senior Blast	2020-2024 AAA
133	2:13.18	Isaac Carr		15	200 FL LCM	IL	Champaign Cnty YMCA	2023 IN CGAC Pam Todd Memorial Meet	2020-2024 AAA
136	2:13.20	Tyler Sinsabaugh		15	200 FL LCM	NM	Charger Aquatics	2023 CC Arena Western Zone Senior Championships	2020-2024 AAA
137	2:13.21	Ethan Chung		15	200 FL LCM	IL	NASA Wildcat Aquatics	2023 Futures Championships - West Fargo, ND	2020-2024 AAA
137	2:13.21	Zach Parent		15	200 FL LCM	NE	Bluefish Swim Club	2023 MR LIAC Speedo LI Challenge	2020-2024 AAA
137	2:13.21	Norvin Clontz		15	200 FL LCM	NC	SwimMAC Carolina	2023 NC SwimMAC Novant Invitational	2020-2024 AAA
140	2:13.22	Tyler Mury		15	200 FL LCM	GU	Cypress Fairbanks Swim Club	2023 MS Southern Zone Senior Championships	2020-2024 AAA
141	2:13.23	Emmett Fentress		15	200 FL LCM	OHO	Milford Area Swim Team	2023 IN CZ East Spring Speedo Sectional	2020-2024 AAA
142	2:13.26	Christopher Hall		15	200 FL LCM	NJ	YMCA of Greater Monmouth County	2023 NC YMCA Long Course Nationals	2020-2024 AAA
