Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
470	54.44	Theo Sohn		17	100 FR LCM	CA	FAST Swim Team	2023 CA SCS/RAA Summer Age Group Champs	2020-2024 AAA
475	54.45	Henry Amar		17	100 FR LCM	MR	Empire Swimming	2023 CT Marlins May Invite	2020-2024 AAA
475	54.45	Isaac deVries		17	100 FR LCM	MI	West Michigan Swimmers	2023 IN CZ East Spring Speedo Sectional	2020-2024 AAA
477	54.46	Marshall Pifer		17	100 FR LCM	NC	Aquatic Team Of Mecklenburg	2023 Futures San Antonio Time Trials	2020-2024 AAA
477	54.46	Sam Harris		17	100 FR LCM	PV	Machine Aquatics	2023 IN NCSA Summer Swimming Championships	2020-2024 AAA
477	54.46	Sebastian Leal	Yes	17	100 FR LCM	IL	Academy Bullets Swim Club	2023 IN NCSA Summer Swimming Championships	2020-2024 AAA
477	54.46	Eddie Wang		17	100 FR LCM	NC	YMCA of the Triangle Area Swim Team	2023 FL Last Splash Invitational	2020-2024 AAA
481	54.47	Anton Zivanovic		17	100 FR LCM	CA	Riverside Aquatics Association	2023 Futures - Sacramento, CA	2020-2024 AAA
481	54.47	Gage Spade		17	100 FR LCM	VA	Tide Swimming	2023 FL ISCA Summer Senior Blast	2020-2024 AAA
481	54.47	Omar Sherif Abdelwahab	Yes	17	100 FR LCM	MN	University of Minnesota	2023 MN UOFM 2023 Gopher Intrasquad	2020-2024 AAA
481	54.47	George Emrhein		17	100 FR LCM	SE	Ensworth Aquatics	2023 Futures - Ocala	2020-2024 AAA
481	54.47	Tucker Roth		17	100 FR LCM	AZ	Pitchfork Aquatics	2023 AZ SUN Sun Devil Open	2020-2024 AAA
481	54.47	Finn Franks		17	100 FR LCM	MR	Empire Swimming	2023 Futures Championships - Richmond, VA - CAP REACHED	2020-2024 AAA
481	54.47	Luke Fender		17	100 FR LCM	MS	Mississippi Makos Swim Team	2023 MS Southern Zone Senior Championships	2020-2024 AAA
488	54.48	Landon Vanmatre		17	100 FR LCM	IN	Boilermaker Aquatics	2023 IN CZ East Spring Speedo Sectional	2020-2024 AAA
488	54.48	Oliver Schimberg		17	100 FR LCM	CO	Aquawolves Swimming	2023 CC Arena Western Zone Senior Championships	2020-2024 AAA
490	54.49r	Peter Mottolese		17	100 FR LCM	CT	Chelsea Piers Aquatic Club	2023 IN NCSA Summer Swimming Championships	2020-2024 AAA
490	54.49	Turner Ferguson		17	100 FR LCM	IL	Chicago Wolfpack Aquatic Club	2023 WI MAC LC MIDWEST INVITATIONAL	2020-2024 AAA
490	54.49	Oliver Bartolomeo		17	100 FR LCM	FL	Radiant Aquatics	2023 IA DSMY AAU Junior Olympics	2020-2024 AAA
490	54.49	Cole Stevenson		17	100 FR LCM	IN	Irish Aquatics	2023 Speedo Junior National Championships Time Trials	2020-2024 AAA
494	54.50	Zach Drotar		17	100 FR LCM	NI	Cato-Meridian Otters	2023 NI STAR Buffalo Sports Commission Summer Invitational	2020-2024 AAA
494	54.50r	Blake Francois		17	100 FR LCM	MV	Empire KC Swim Club	2023 MV CSC Region VIII Sectional Championships	2020-2024 AAA
494	54.50	Noah Saylor		17	100 FR LCM	GA	SwimAtlanta	2023 SE AUB Richard Quick Invitational	2020-2024 AAA
494	54.50r	Dylan England		17	100 FR LCM	ST	Austin Swim Club	2023 ST TXLA Speedo SZ LC Sectional Championships	2020-2024 AAA
494	54.50	Evan Roberts		17	100 FR LCM	ST	Waterloo Swimming	2023 NT MAC Lone Star Championship of the Universe	2020-2024 AAA
494	54.50	Jack Brown		17	100 FR LCM	GU	Dads Club Swim Team	2023 IN NCSA Summer Swimming Championships	2020-2024 AAA
500	54.51r	Grant Mundl		17	100 FR LCM	CA	Mission Viejo Nadadores	2023 Futures - Sacramento, CA	2020-2024 AAA
