Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
238	1:57.33	Sam White		17	200 FR LCM	CO	Front Range Barracudas	2023 IA DSMY Trudy Hancock Memorial Invite	2024 Futures (LCM)
238	1:57.33	Michael Higgens		17	200 FR LCM	NT	COR Swimming	2023 IN NCSA Summer Swimming Championships	2024 Futures (LCM)
240	1:57.34	Joseph Engle		17	200 FR LCM	MI	Michigan Lakeshore Aquatics	2023 IN CZ East Spring Speedo Sectional	2023 Futures (LCM)
241	1:57.35	Alex Stewart		17	200 FR LCM	UT	Skyline Swim Club	2023 SR Speedo LC Sectionals	2024 Futures (LCM)
242	1:57.36	Gunnar Seversen		17	200 FR LCM	MN	South East Metro Sharks	2023 IN NCSA Summer Swimming Championships	2024 Futures (LCM)
242	1:57.36	Louie Fasani		17	200 FR LCM	SN	Wolverine Aquatics	2023 Futures - Sacramento, CA	2024 Futures (LCM)
244	1:57.37	Tyler Whitacre		17	200 FR LCM	PV	Machine Aquatics	2023 VA EZ LC Speedo Super Sectional	2023 Futures (LCM)
245	1:57.41r	Gage Boushee		17	200 FR LCM	MN	South Metro Storm	2023 MN NSAC Minnesota Senior LC State Championship	2024 Futures (LCM)
246	1:57.43	Jesse Abramson		17	200 FR LCM	MR	New York Sharks Aquatics	2023 Futures Championships - Richmond, VA - CAP REACHED	2024 Futures (LCM)
247	1:57.44	Gideon Stemmons		17	200 FR LCM	AZ	Swim Neptune	2023 AZ Long Course Senior State Championships	2024 Futures (LCM)
247	1:57.44	Owen Carlsen		17	200 FR LCM	CA	Las Vegas Swim Club	2023 CA FAST Jon Urbanchek Invite	2024 Futures (LCM)
249	1:57.45	Evan Witte		17	200 FR LCM	NT	Lakeside Aquatic Club	2023 NT MAC Senior Meet	2023 Futures (LCM)
250	1:57.48	Cameron Watson		17	200 FR LCM	FL	North Florida Swimming, Inc.	2023 FL Summer Senior Championships	2024 Futures (LCM)
250	1:57.48	Bin Rutnosot	Yes	17	200 FR LCM	PN	Bellevue Club Swim Team	2023 PN Senior Long Course Champs	2023 Futures (LCM)
252	1:57.49	Vincent Vinciguerra		17	200 FR LCM	MR	Three Village Swim Club	2023 NI Eastern Zone Senior Championships	2024 Futures (LCM)
253	1:57.50r	Brady Johnson		17	200 FR LCM	IL	FMC Aquatic	2023 IA Speedo Section Summer Champs CZ North	2023 Futures (LCM)
254	1:57.51	Kyle Algrim		17	200 FR LCM	IL	St Charles Swim Team	2023 IL Illinois Swimming Summer Senior Championships	2024 Futures (LCM)
254	1:57.51	Jeremy Flint		17	200 FR LCM	PC	Santa Clara Swim Club	2023 Futures - Sacramento, CA	2024 Futures (LCM)
256	1:57.52	Daniel Gonzalez		17	200 FR LCM	GA	Dynamo Swim Club	2023 Futures - Ocala	2024 Futures (LCM)
256	1:57.52	John Aegerter		17	200 FR LCM	NT	Lakeside Aquatic Club	2023 WV 23023 Summer Senior Showdown	2024 Futures (LCM)
258	1:57.55	Nye Hanan		17	200 FR LCM	NM	Las Cruces Aquatic Team	2023 CC Arena Western Zone Senior Championships	2024 Futures (LCM)
258	1:57.55	Sam Lohman		17	200 FR LCM	IL	Fox Valley Swim Team	2023 IA Speedo Section Summer Champs CZ North	2024 Futures (LCM)
260	1:57.57	Derek Long		17	200 FR LCM	MV	Tsunami Swim Team of K.C.	2023 MV EKC Rose Memorial	2023 Futures (LCM)
261	1:57.58	Casey Aten		17	200 FR LCM	FL	Sarasota Sharks	2023 FL Southern Zone South Sectional Championships	2023 Futures (LCM)
262	1:57.59r	Tyson Huynh		17	200 FR LCM	GA	Chattahoochee Gold Swim Club	2023 Futures - Ocala	2024 Futures (LCM)
262	1:57.59	Evan Dickson		17	200 FR LCM	IN	Pacesetter Aquatics	2023 IN CZ East Spring Speedo Sectional	2023 Futures (LCM)
264	1:57.61	Woobie Kupsky		17	200 FR LCM	MA	Unattached	2023 MA Long Course Senior Championships	2024 Futures (LCM)
265	1:57.66	Robs Barton		17	200 FR LCM	UT	Olympus Aquatics	2023 UT Utah LC Senior Championships	2024 Futures (LCM)
266	1:57.67	Szymon Mieczkowski		17	200 FR LCM	IL	Academy Bullets Swim Club	2023 IN NCSA Summer Swimming Championships	2024 Futures (LCM)
266	1:57.67	Nick Martin		17	200 FR LCM	NC	SwimMAC Carolina	2023 Futures - Ocala	2024 Futures (LCM)
268	1:57.68	Kyle Kulow		17	200 FR LCM	GU	First Colony Swim Team, Inc.	2023 GU FCST Summer Splash	2024 Futures (LCM)
268	1:57.68r	Everett Cox		17	200 FR LCM	GU	Dads Club Swim Team	2023 ST TXLA Speedo SZ LC Sectional Championships	2023 Futures (LCM)
270	1:57.70r	Jacob Johnson		17	200 FR LCM	MA	Suburban Seahawks Club	2023 IN NCSA Summer Swimming Championships	2024 Futures (LCM)
270	1:57.70	Bradley Boyd		17	200 FR LCM	KY	Kentucky Aquatics	2023 MS Southern Zone Senior Championships	2024 Futures (LCM)
270	1:57.70	Kyle Wang		17	200 FR LCM	PV	All Star Aquatics	2023 Speedo Junior National Championships	2024 Futures (LCM)
273	1:57.71r	Connor Seminavage		17	200 FR LCM	HI	Iolani Swim Club	2023 HI Long Course Age Group Championship	2024 Futures (LCM)
274	1:57.72	Matthew Gramlich		17	200 FR LCM	CO	Team Vortex	2023 CC Arena Western Zone Senior Championships	2024 Futures (LCM)
275	1:57.73	Eric Engel		17	200 FR LCM	MR	BGC-N. Westchester Marlins	2023 Speedo Junior National Championships Time Trials	2024 Futures (LCM)
