Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
187	4:41.54	Henry Shoemaker		17	400 IM LCM	FL	Sarasota Tsunami Swim Team	2024 FL SZSS Summer Championships	2024 Futures (LCM)
188	4:41.57	Ty Zarbock		17	400 IM LCM	MT	Billings Aquatic Club	2024 Futures Championships - Minneapolis	2025 Futures (LCM)
189	4:41.67	Matthew OKonski		17	400 IM LCM	LA	Crawfish Aquatics	2024 ST TXLA SZ LC Sectional Champs	2024 Futures (LCM)
190	4:41.90	Davis Dunham		17	400 IM LCM	NC	SwimMAC Carolina	2024 NC SwimMAC Novant Invitational	2024 Futures (LCM)
190	4:41.90	Oliver Gray		17	400 IM LCM	CA	Orange County Gold	2024 SVk Majstrovstvá SR open a juniorov	2024 Futures (LCM)
192	4:42.09	Glen Tanner		17	400 IM LCM	UT	Swim Lake City Legends	2024 OR SPEEDO SECTIONALS - MT HOOD	2025 Futures (LCM)
193	4:42.18	Nick Cavic		17	400 IM LCM	NE	Gator Swim Club	2024 NE BGSC LCM Senior Championship	2024 Futures (LCM)
193	4:42.18	Jackson Patterson		17	400 IM LCM	OHO	Mason Manta Rays	2024 IN NCSA Summer Swimming Championships	2025 Futures (LCM)
195	4:42.25	Liam Long		17	400 IM LCM	GA	Dynamo Swim Club	2024 GA Bulldog Grand Slam	2024 Futures (LCM)
196	4:42.30	Daniel Gonzalez		17	400 IM LCM	GA	Dynamo Swim Club	2024 TYR Pro Swim Series - Knoxville	2024 Futures (LCM)
197	4:42.34	Oliver Valdez		17	400 IM LCM	CO	Univ of Denver Hilltoppers	2024 NT LAC Summer Senior Showdown	2025 Futures (LCM)
198	4:42.36	Christopher Gregg		17	400 IM LCM	MI	Club Wolverine	2024 Futures Championships - Huntsville	2025 Futures (LCM)
199	4:42.43	Joshua Lopez		17	400 IM LCM	PV	Rockville Montgomery Swim Club	2024 IN NCSA Summer Swimming Championships	2020-2024 AAA
200	4:42.49	Peter Zalewski		17	400 IM LCM	CT	Cheshire Y Sea Dog Swim Club	2024 CT Senior Championships	2020-2024 AAA
201	4:42.61	Carter Gray		17	400 IM LCM	GU	First Colony Swim Team, Inc.	2024 Futures Championships - Austin	2020-2024 AAA
202	4:42.68	Matt Cinque		17	400 IM LCM	NC	North Carolina Aquatic Club	2024 NC STAR ESSZ Spg SR Sectionals	2020-2024 AAA
203	4:42.71	Tenzin Wangpo		17	400 IM LCM	OR	Lake Oswego Swim Club	2024 Futures Championships - Minneapolis	2020-2024 AAA
204	4:42.80	William Siegel		17	400 IM LCM	MR	Long Island Aquatic Club	2024 IN NCSA Summer Swimming Championships	2020-2024 AAA
205	4:42.83	Carter Bartolini		17	400 IM LCM	ST	Alamo Area Aquatic Association	2024 ST TXLA SZ LC Sectional Champs	2020-2024 AAA
206	4:42.86	J.J. Arbuckle		17	400 IM LCM	NT	Dallas Mustangs	2024 Futures Championships - Minneapolis - Time Trials	2020-2024 AAA
207	4:42.92	Alex Nguyen		17	400 IM LCM	PV	Rockville Montgomery Swim Club	2024 IN NCSA Summer Swimming Championships	2020-2024 AAA
207	4:42.92	Carter Miller		17	400 IM LCM	SE	Ensworth Aquatics	2024 NC STAR ESSZ Spg SR Sectionals	2020-2024 AAA
209	4:42.98	Devin Irons		17	400 IM LCM	AZ	Phoenix Swim Club	2024 AZ MAC 13th Annual Speedo Invite	2020-2024 AAA
210	4:42.99	Brady Calkins		17	400 IM LCM	SN	Sierra Marlins Swim Team	2024 SN 26th Annual Summer Sanders LCM Meet SR+ Swim Meet	2020-2024 AAA
211	4:43.08	Adam Picco		17	400 IM LCM	GU	Hydro Elite Aquatics Team	2024 GU KATY January Westpark Tollway Classic	2020-2024 AAA
212	4:43.10	Hunter Hua		17	400 IM LCM	CA	La Mirada Armada	2024 Futures Championships - Austin	2020-2024 AAA
