Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
228	2:12.89	Fletcher Bautz		17	200 IM LCM	PV	Rockville Montgomery Swim Club	2022 PV AP MCSL Coaches LC	2020-2024 AAA
229	2:12.93	Michael Di bello		17	200 IM LCM	CA	Fusion Aquatics	2022 Futures - Santa Clara	2020-2024 AAA
230	2:12.94	Alex Sleptsov		17	200 IM LCM	MA	Upper Dublin Aquatic Club	2022 AM LC Eastern Zone SR Championship	2020-2024 AAA
230	2:12.94	Nicholas Suranyi		17	200 IM LCM	MI	Novi Sturgeons	2022 IN NCSA Summer Swimming Championships2	2020-2024 AAA
232	2:13.00	Porawat Bunditkitsada	Yes	17	200 IM LCM	FL	Bolles School Sharks	2022 FL BSS TYR June Classic	2020-2024 AAA
232	2:13.00	Colin Cosgrove		17	200 IM LCM	AZ	Tucson Ford Dealers Aquatics	2022 Bell Canadian Swimming Trials	2020-2024 AAA
234	2:13.01	Evan Pickles		17	200 IM LCM	AZ	Swim Neptune	2022 OR Speedo Sectionals - Mt Hood	2020-2024 AAA
235	2:13.02	William Wheeler		17	200 IM LCM	AR	Razorback Aquatic Club Aquahawgs	2022 SE Speedo Summer Sizzler	2020-2024 AAA
236	2:13.03	Ryan Lee		17	200 IM LCM	MA	Keystone Aquatics	2022 IN NCSA Summer Swimming Championships2	2020-2024 AAA
236	2:13.03	Marco Minai		17	200 IM LCM	PV	Nation's Capital Swim Club	2022 IN NCSA Summer Swimming Championships2	2020-2024 AAA
238	2:13.04	Teddy Blake		17	200 IM LCM	NC	YMCA of the Triangle Area Swim Team	2022 FL ISCA Summer Senior Blast	2020-2024 AAA
239	2:13.07	Carson Ricker		17	200 IM LCM	MI	Utica Shelby Swim Club	2022 NC Futures Championships Cary	2020-2024 AAA
240	2:13.08	Will Crall		17	200 IM LCM	NJ	Fanwood-Scotch Plains YMCA	2022 NC AP LC YMCA Nationals	2020-2024 AAA
241	2:13.09	Caleb Bailey		17	200 IM LCM	SC	Southern Tide Swim Club	2022 MS Southern Zone Age Group	2020-2024 AAA
242	2:13.13	Quinn Collins		17	200 IM LCM	IL	FMC Aquatic	2022 IN NCSA Summer Swimming Championship	2020-2024 AAA
243	2:13.14	Jed Garner		17	200 IM LCM	PV	Rockville Montgomery Swim Club	2022 PV AP MCSL Coaches LC	2020-2024 AAA
243	2:13.14	Pierce Downs		17	200 IM LCM	CA	Los Angeles Swim Club	2022 CA Los Angeles Invitational	2020-2024 AAA
245	2:13.17	Jerry Chu		17	200 IM LCM	PC	Santa Clara Swim Club	2022 PC SCSC Super League Summer LC Finals	2020-2024 AAA
246	2:13.22	Kellan Pattison		17	200 IM LCM	AZ	Scottsdale Aquatic Club	2022 OR Speedo Sectionals - Mt Hood	2020-2024 AAA
247	2:13.23	Sean Kelty		17	200 IM LCM	NC	Hickory Foundation YMCA Seahorse Swim Team	2022 NC AP LC YMCA Nationals	2020-2024 AAA
248	2:13.26	Ralphie Weakland		17	200 IM LCM	FL	Episcopal AmberJax	2022 NC Futures Championships Cary	2020-2024 AAA
248	2:13.26	Yash Salunke		17	200 IM LCM	MN	Unattached	2022 MN USAS Speedo Meet	2020-2024 AAA
250	2:13.28	Daniel Choi		17	200 IM LCM	GU	Cypress Fairbanks Swim Club	2022 ST TXLA Speedo Southern Sectionals	2020-2024 AAA
251	2:13.29	Blaise Minckler		17	200 IM LCM	SC	Hilton Head Aquatics	2022 SC LSC Senior State Champs	2020-2024 AAA
252	2:13.33	Luis Junqueira		17	200 IM LCM	FL	Sarasota Tsunami Swim Team	2022 Futures - Cary	2020-2024 AAA
253	2:13.34	Nathan Welker		17	200 IM LCM	MA	York YMCA	2022 MD NBAC Spring Long Course Meet	2020-2024 AAA
254	2:13.36	Connor Brown		17	200 IM LCM	PN	Bellevue Club Swim Team	2022 PC SCSC Futures West	2020-2024 AAA
254	2:13.36	Theodore Dietrich		17	200 IM LCM	PV	All Star Aquatics	2022 AM LC Eastern Zone SR Championship	2020-2024 AAA
256	2:13.37	Zach Zornan Ferguson		17	200 IM LCM	AM	Racer X Aquatics	2022 AM LC Eastern Zone SR Championship	2020-2024 AAA
257	2:13.39	Aiden Hall		17	200 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2022 VA LC Senior Champs	2020-2024 AAA
258	2:13.42	Jack Hendrick		17	200 IM LCM	PC	Livermore Aqua Cowboys	2022 SN Summer CA-NV Sectional-CC	2020-2024 AAA
258	2:13.42	Justin Sere		17	200 IM LCM	VA	Coast Guard Blue Dolphins	2022 IN NCSA Summer Swimming Championship	2020-2024 AAA
260	2:13.43	Nathan Kim		17	200 IM LCM	CA	Rose Bowl Aquatics	2022 CA So Cal Invite	2020-2024 AAA
261	2:13.44	Gabe Gonda		17	200 IM LCM	AZ	Phoenix Swim Club	2022 OR Speedo Sectionals - Mt Hood	2020-2024 AAA
262	2:13.45	Lucas Lane		17	200 IM LCM	LE	Hudson Explorer Aquatic	2022 LE Robert F. Busbey Invitational	2020-2024 AAA
263	2:13.51	John Holler		17	200 IM LCM	MR	Hauppauge Athletic Association	2022 AM LC Eastern Zone SR Championship	2020-2024 AAA
263	2:13.51	Benke Grobler	Yes	17	200 IM LCM	PV	Nation's Capital Swim Club	2022 PV LC Open Championships	2020-2024 AAA
265	2:13.53	David Bosch		17	200 IM LCM	CO	Loveland Swim Club	2022 SN Finals - Western Zone Senior Ch	2020-2024 AAA
265	2:13.53	Allen Zheng		17	200 IM LCM	PN	PRO Swimming	2022 PN Senior Long Course Champs	2020-2024 AAA
267	2:13.54	Quinn Schwab		17	200 IM LCM	NE	North Shore Swim Club	2022 LE Futures Championships Geneva	2020-2024 AAA
267	2:13.54	Owen Dankert		17	200 IM LCM	IN	Fort Wayne Swim Team	2022 IN Spring Speedo Sectionals	2020-2024 AAA
269	2:13.55	Dylan Herink		17	200 IM LCM	IA	Black Hawk Area Swim Team	2022 IA Long Course Championships	2020-2024 AAA
270	2:13.56	Ryan Shute		17	200 IM LCM	NE	Bluefish Swim Club	2022 WI Central Zone Section 1	2020-2024 AAA
271	2:13.69	Ben Sheets		17	200 IM LCM	AM	Hampton Dolphins	2022 AM LC Eastern Zone SR Championship	2020-2024 AAA
272	2:13.70	Izaiah Trevino-Lozano		17	200 IM LCM	CA	Fusion Aquatics	2022 CA RAA Summer JO's	2020-2024 AAA
273	2:13.72	Cooper Costello		17	200 IM LCM	CA	Santa Barbara Swim Club	2022 CA CA-NV Speedo Sectionals at CANY	2020-2024 AAA
274	2:13.74	Zac Sudweeks		17	200 IM LCM	VA	H2okie Aquatics	2022 VA LC Senior Champs	2020-2024 AAA
275	2:13.76	Tyler Ray		17	200 IM LCM	MI	Club Wolverine	2022 MI Eric Namesnik Memorial Open	2020-2024 AAA
276	2:13.80	Allen Cotton		17	200 IM LCM	MI	Southwest Y Michigan Swimming	2022 LE Speedo Summer Sectionals	2020-2024 AAA
277	2:13.82	Christian Perez		17	200 IM LCM	CA	Evolution Racing Club	2022 CA Speedo Grand Challenge	2020-2024 AAA
278	2:13.85	Hayden Bartz		17	200 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2022 IN NCSA Summer Swimming Championships2	2020-2024 AAA
279	2:13.87	Pablo Lopez Franco	Yes	17	200 IM LCM	FG	Ransom Everglades Aquatic Club	2022 FG Senior Championships	2020-2024 AAA
280	2:13.90	Andrew Jones		17	200 IM LCM	IE	Tri-city Channel Cats	2022 Futures - Santa Clara	2020-2024 AAA
281	2:13.93	Nick Rhodes		17	200 IM LCM	MR	Long Island Express	2022 AM LC Eastern Zone SR Championship	2020-2024 AAA
